id,amount,amount_label,vendor,vendor_score,vendor_label,invoice_number,invoice_number_label,bill_date,bill_date_label
52852834,581.7,581.7,,,Customer 7,2018-2,2018-2 Customer 7,22.08.2018,2018-08-22 00:00:00
51549425,,152.55,camscanner,0.636422336101532,Pickering Auto Lab,,,08/03/2018,2018-08-03 00:00:00
50906354,193.78,193.78,orientaltrading,0.6957515478134155,Oriental Trading,691318300,,07/26/18,2018-07-26 00:00:00
51799181,7.0,7.0,bwc.ohio.gov,0.5778563618659973,bwc,,,08/06/2018,2018-08-06 00:00:00
51836250,16.33,12.02,cheritzplus,0.8504047393798828,Cheritzplus,2410-3575-2814-4714,2410-3575-2814-4714,,2017-08-11 00:00:00
52381165,-1689.5,1689.5,trademarks,0.9217705726623536,TradeMarks,261569,261569,"wed, aug 22, 2018",2018-08-22 00:00:00
50318537,49.59,49.59,chouchou foods,0.9914482235908508,Chouchou foods,0454,0454,"march 28, 2018",2018-03-28 00:00:00
52533493,108.36,108.36,priori specialty food,0.7604869604110718,Priori Specialty Food,52832,52832,26 aug 2018,2018-08-26 00:00:00
51192904,500.0,500.0,performance lifestyle,0.9651566743850708,Julia McRae,7770,,08/03/2018,2018-08-03 00:00:00
51154264,265.56,265.56,hygrade laser profiling,0.9824027419090272,Hygrade Laser Profiling,91970,91970,08/22/2018,2018-08-22 00:00:00
51206888,233.98,233.98,bob kirst transport,0.9968085885047911,Bob Kirst Transport,28164,28164,"fri, aug 17, 2018",2018-08-17 00:00:00
53028542,50.0,50.0,constant contact,0.7649929523468018,Rethinking Construction,197392998,197392998,21 july 2018,2018-07-20 00:00:00
51836476,400.0,400.0,gardencityplastics,0.9705395102500916,Garden City Plastics,3Q07069,,23 august 2018,2018-08-23 00:00:00
51431489,176.0,176.0,stuart russell totman,0.6801788806915283,Stuart Russell Totman,INV-1193,INV-1193,08/24/2018,2018-08-01 00:00:00
51545607,,487.5,australia post,0.9676796793937684,Australia Post,1006632492,1006632492,,2018-08-10 00:00:00
52845939,369.0,369.0,queuesolutions,0.9997353553771972,Queue solutions,1808267,1808267,02/08/2018,2018-08-02 00:00:00
51785390,185.98,185.98,hilti,0.9790465235710144,Hilti Inc.,4612108949,4612108949,"july 1,2018",2018-07-01 00:00:00
51592117,665.68,665.68,aaa electronic services,0.9193990230560304,AAA Electronic Services Inc,S28180,,24-aug-2018,2018-08-24 00:00:00
51603226,617.94,617.94,gensco,0.998892605304718,"Gensco, Inc.",848282420,848282420,"thursday, august 16, 2018",2018-08-16 00:00:00
50668490,2757.67,2757.67,eastpoint plumb,0.6974052786827087,Master,,33002818-00,8/16/2018,2018-08-16 00:00:00
51971495,27.46,27.46,bunnings,0.9441606998443604,Bunnings Trade,6359/00173759,6359/00173759,"april 20, 2018",2018-04-20 00:00:00
52975397,42.79,42.79,genstock,0.9165815114974976,Genstock,INV-GB-116727801-2017-568,INV-GB-116727801-2017-568,"tuesday, august 14, 2018",2018-08-24 00:00:00
52429527,2840.49,2840.49,mpx bioceutical corporation,0.666741132736206,National Equicom,600424007,600424007,"wed, aug 29, 2018",2018-08-21 00:00:00
52742619,67.8,67.8,koodo,0.8869332075119019,Koodo mobile,,,08/10/2018,2018-08-10 00:00:00
51659846,20.0,20.0,giovannissalonspa & s,0.7050297856330872,Giovannissalonspa&Supply,,,jul 19 2018,2018-07-19 00:00:00
